USE_CODE,Public
0101,R
0102,R
0104,R
0105,R
010C,R
011,R
0111,R
0112,R
013,R
0130,R
0134,R
0136,R
0137,R
0138,R
013C,R
014,R
0140,R
016,R
0167,R
017,R
0176,R
018,R
0181,R
0182,R
0183,R
0187,R
019,R
031,R
0310,R
0316,R
0317,R
0318,R
0319,R
031C,R
031R,R
0322,R
0325,R
0326,R
0331,R
0332,R
0336,R
033G,R
033J,R
034,R
0340,R
0341,R
0343,R
037,R
038,R
0380,R
0387,R
039,R
0391,R
041,R
0410,R
043,R
048,R
049,R
0601,R
061,R
064,R
067,R
071,R
0710,R
0712,R
0713,R
0716,R
0717,R
0718,R
0720,R
0722,R
073,R
076,R
0801,R
0803,R
0806,R
081,R
0814,R
0837,R
091,U
093,U
094,R
101,R
1010,R
1013,R
1014,R
1017,R
1018,R
101V,R
102,R
1020,R
1021,R
1027,R
1028,R
1029,R
102V,R
103,R
104,R
1040,R
1043,R
105,R
1050,R
106,R
1060,R
1061,R
1062,R
1063,R
1067,R
106V,R
107V,R
108,R
109,R
1090,R
1091,R
1094,R
1095,R
1098,R
1099,R
110,R
111,R
1110,R
1111,R
111C,R
112,R
1120,R
112C,R
112I,R
112R,R
112V,R
113,R
1131,R
113C,R
114,R
116,R
117,R
118,R
119,R
120,R
121,R
122,R
123,R
1230,R
124,R
125,R
1250,R
1251,R
1252,R
125C,R
125R,R
126,R
126C,R
126R,R
127,R
130,R
1300,R
1301,R
1303,R
130V,R
131,R
1310,R
1313,R
132,R
1320,R
1322,R
1323,R
132V,R
137,R
140,R
1400,R
140C,R
142,R
150,R
172,R
199,R
201,R
2010,R
300,R
3000,R
3005,R
301,R
3010,R
302,R
303,R
3030,R
304,R
3040,R
3041,R
305,R
3050,R
306,R
307,R
309,R
310,R
3100,R
310V,R
311,R
312,R
3120,R
313,R
3130,R
314,R
3140,R
315,R
316,R
3160,R
316I,R
316S,R
316V,R
317,R
318,R
3180,R
319,R
320,R
321,R
3210,R
322,R
3220,R
3221,R
3222,R
322I,R
322V,R
323,R
3230,R
324,R
3240,R
325,R
3250,R
326,R
3260,R
327,R
3270,R
328,R
329,R
330,R
3300,R
330V,R
331,R
3310,R
332,R
3320,R
332G,R
332I,R
332J,R
333,R
3330,R
334,R
3340,R
3344,R
335,R
3350,R
336,R
3360,R
337,R
3370,R
338,R
3380,R
338V,R
339,R
340,R
3400,R
3401,R
340I,R
340R,R
341,R
3410,R
342,R
3420,R
3421,R
343,R
3430,R
344,R
3440,R
345,R
3450,R
346,R
347,R
348,R
349,R
350,U
3500,U
351,U
3510,U
352,U
353,U
3530,U
354,U
355,U
3550,U
356,U
3560,U
357,U
358,U
359,U
360,R
361,R
362,R
3620,R
364,R
3640,R
365,R
369,R
3690,R
3700,R
3710,R
374,R
3740,R
375,R
3750,R
376,R
3760,R
377,R
3770,R
378,R
379,R
380,R
3800,R
381,R
3810,R
381V,R
383,R
384,R
3841,R
385,R
3850,R
386,R
387,R
388,R
3880,R
390,R
3900,R
3901,R
391,R
3910,R
392,R
3920,R
393,R
399,R
400,R
4000,R
400C,R
400I,R
400J,R
401,R
4010,R
402,R
4020,R
4021,R
402C,R
403,R
4030,R
403V,R
404,R
4040,R
405,R
4050,R
406,R
4060,R
4061,R
407,R
409,R
4095,R
410,R
4100,R
410I,R
410V,R
412,R
413,R
414,R
415,R
417,R
422,R
423,R
4230,R
424,R
4240,R
4241,R
424V,R
425,R
426,R
427,R
428,R
4280,R
430,R
4300,R
431,R
4310,R
431V,R
432,R
4320,R
433,R
4330,R
433V,R
434,R
435,R
436,R
437,R
438,R
439,R
440,R
4400,R
440V,R
441,R
4410,R
442,R
4420,R
444,R
445,R
450,R
451,R
452,R
4520,R
465,X
601,R
6010,R
602,R
6100,R
7100,R
712,R
7120,R
713,R
7130,R
714,R
7140,R
716,R
7160,R
717,R
7170,R
718,R
7180,R
719,R
720,R
7200,R
722,R
801,R
8010,R
803,R
8030,R
8040,R
805,R
8050,R
8051,R
805V,R
806,R
8060,R
8070,R
8080,R
811,R
8110,R
814,R
8140,R
900,U
9000,U
9001,U
9003,U
900C,U
900I,U
900R,U
900V,U
901,U
9010,U
902,U
9020,U
903,U
9030,U
9031,U
9032,U
9033,U
9035,U
903C,U
903I,U
903R,U
903V,U
904,U
9040,U
904R,U
904V,U
905,U
9050,U
9051,U
905C,U
905R,U
906,U
9060,U
906V,U
907,U
908,U
9080,U
909,U
910,U
9100,U
9101,U
911,U
9120,U
912I,U
912V,U
914,U
9140,U
9141,U
9142,U
917,U
919,U
920,U
9200,U
920C,U
920R,U
920V,U
922,U
9220,U
923,U
924,U
9240,U
9241,U
9242,U
924V,U
925,U
9250,U
925V,U
927,U
928,U
929,U
9290,U
930,U
9300,U
9302,U
930C,U
930V,U
930W,U
931,U
9310,U
9311,U
9312,U
9313,U
9315,U
931C,U
931I,U
931R,U
931S,U
931V,U
932,U
9320,U
932V,U
933,U
9330,U
933V,U
934,U
9340,U
934C,U
935,U
9350,U
935C,U
936,U
9360,U
937,U
938,U
9380,U
939,U
9390,U
939C,U
939V,U
940,R
9400,R
9403,R
940C,R
940R,R
940V,R
941,R
9410,R
9413,R
941C,R
942,R
9420,R
9421,R
9423,R
9425,R
942C,R
942R,R
942V,R
943,R
9430,R
943C,R
944,R
9440,R
944C,R
944V,R
945,R
9450,R
945C,R
945R,R
946,R
9460,R
946V,R
947,R
9470,R
9473,R
947C,R
947V,R
950,R
9500,R
950V,R
951,R
9510,R
9513,R
951C,R
951I,R
951R,R
951V,R
952,R
953,R
9530,R
953C,R
953V,R
954,R
9540,R
954C,R
954R,R
954V,R
955,R
9550,R
9555,R
955C,R
955V,R
956,R
9560,R
956C,R
956R,R
956V,R
957,R
9570,R
9571,R
9575,R
957C,R
957R,R
957V,R
958,R
9580,R
958C,R
958V,R
959,R
9590,R
9591,R
959C,R
959M,R
959R,R
959S,R
960,R
9600,R
9601,R
9602,R
9605,R
960C,R
960R,R
960V,R
961,R
9610,R
9611,R
9615,R
961C,R
961R,R
961V,R
961W,R
962,R
9620,R
9625,R
962C,R
962R,R
962V,R
963,R
964,R
965,R
968,R
970,U
9700,U
9701,U
9703,U
9705,U
970C,U
970R,U
970S,U
971,U
9710,U
971V,U
972,U
9720,U
972C,U
972V,U
973,U
9730,U
974,U
9740,U
974V,U
975,U
9750,U
975V,U
976,U
977,U
978,U
979,U
980,U
9800,U
980V,U
981,U
9810,U
981R,U
982,U
982V,U
983,U
985,U
986,U
987,U
988,U
988V,U
989,U
990,U
9900,U
9905,U
991,U
9910,U
992,U
9920,U
9930,U
993V,U
995,X
9950,X
995C,X
995I,X
995V,X
996,X
996V,X
997,X
9970,X
9971,X
997V,X
998,X
999,X
