USE_CODE,GenCats
0101,Residential
0102,Residential
0104,Residential
0105,Residential
010C,Residential
011,Residential
0111,Residential
0112,Residential
013,Residential
0130,Residential
0134,Residential
0136,Residential
0137,Residential
0138,Residential
013C,Residential
014,Residential
0140,Residential
016,Residential
0167,Residential
017,Residential
0176,Residential
018,Residential
0181,Residential
0182,Residential
0183,Residential
0187,Residential
019,Residential
031,Commercial
0310,Commercial
0316,Commercial
0317,Commercial
0318,Commercial
0319,Commercial
031C,Commercial
031R,Commercial
0322,Commercial
0325,Commercial
0326,Commercial
0331,Commercial
0332,Commercial
0336,Commercial
033G,Commercial
033J,Commercial
034,Commercial
0340,Commercial
0341,Commercial
0343,Commercial
037,Commercial
038,Commercial
0380,Commercial
0387,Commercial
039,Commercial
0391,Commercial
041,Industrial
0410,Industrial
043,Industrial
048,Industrial
049,Industrial
0601,Forest
061,Forest
064,Forest
067,Forest
071,Agricultural
0710,Agricultural
0712,Agricultural
0713,Agricultural
0716,Agricultural
0717,Agricultural
0718,Agricultural
0720,Agricultural
0722,Agricultural
073,Agricultural
076,Agricultural
0801,Recreational
0803,Recreational
0806,Recreational
081,Recreational
0814,Recreational
0837,Recreational
091,Other
093,Other
094,Institutional
101,Residential
1010,Residential
1013,Residential
1014,Residential
1017,Residential
1018,Residential
101V,Residential
102,Residential
1020,Residential
1021,Residential
1027,Residential
1028,Residential
1029,Residential
102V,Residential
103,Residential
104,Residential
1040,Residential
1043,Residential
105,Residential
1050,Residential
106,Residential
1060,Residential
1061,Residential
1062,Residential
1063,Residential
1067,Residential
106V,Residential
107V,Residential
108,Residential
109,Residential
1090,Residential
1091,Residential
1094,Residential
1095,Residential
1098,Residential
1099,Residential
110,Residential
111,Residential
1110,Residential
1111,Residential
111C,Residential
112,Residential
1120,Residential
112C,Residential
112I,Residential
112R,Residential
112V,Residential
113,Residential
1131,Residential
113C,Residential
114,Residential
116,Residential
117,Residential
118,Residential
119,Residential
120,Residential
121,Residential
122,Residential
123,Residential
1230,Residential
124,Residential
125,Residential
1250,Residential
1251,Residential
1252,Residential
125C,Residential
125R,Residential
126,Residential
126C,Residential
126R,Residential
127,Residential
130,Residential
1300,Residential
1301,Residential
1303,Residential
130V,Residential
131,Residential
1310,Residential
1313,Residential
132,Residential
1320,Residential
1322,Residential
1323,Residential
132V,Residential
137,Residential
140,Residential
1400,Residential
140C,Residential
142,Residential
150,Residential
172,Residential
199,Residential
201,Open Space
2010,Open Space
300,Commercial
3000,Commercial
3005,Commercial
301,Commercial
3010,Commercial
302,Commercial
303,Commercial
3030,Commercial
304,Commercial
3040,Commercial
3041,Commercial
305,Commercial
3050,Commercial
306,Commercial
307,Commercial
309,Commercial
310,Commercial
3100,Commercial
310V,Commercial
311,Commercial
312,Commercial
3120,Commercial
313,Commercial
3130,Commercial
314,Commercial
3140,Commercial
315,Commercial
316,Commercial
3160,Commercial
316I,Commercial
316S,Commercial
316V,Commercial
317,Commercial
318,Commercial
3180,Commercial
319,Commercial
320,Commercial
321,Commercial
3210,Commercial
322,Commercial
3220,Commercial
3221,Commercial
3222,Commercial
322I,Commercial
322V,Commercial
323,Commercial
3230,Commercial
324,Commercial
3240,Commercial
325,Commercial
3250,Commercial
326,Commercial
3260,Commercial
327,Commercial
3270,Commercial
328,Commercial
329,Commercial
330,Commercial
3300,Commercial
330V,Commercial
331,Commercial
3310,Commercial
332,Commercial
3320,Commercial
332G,Commercial
332I,Commercial
332J,Commercial
333,Commercial
3330,Commercial
334,Commercial
3340,Commercial
3344,Commercial
335,Commercial
3350,Commercial
336,Commercial
3360,Commercial
337,Commercial
3370,Commercial
338,Commercial
3380,Commercial
338V,Commercial
339,Commercial
340,Commercial
3400,Commercial
3401,Commercial
340I,Commercial
340R,Commercial
341,Commercial
3410,Commercial
342,Commercial
3420,Commercial
3421,Commercial
343,Commercial
3430,Commercial
344,Commercial
3440,Commercial
345,Commercial
3450,Commercial
346,Commercial
347,Commercial
348,Commercial
349,Commercial
350,Commercial
3500,Commercial
351,Commercial
3510,Commercial
352,Commercial
353,Commercial
3530,Commercial
354,Commercial
355,Commercial
3550,Commercial
356,Commercial
3560,Commercial
357,Commercial
358,Commercial
359,Commercial
360,Commercial
361,Commercial
362,Commercial
3620,Commercial
364,Commercial
3640,Commercial
365,Commercial
369,Commercial
3690,Commercial
3700,Commercial
3710,Commercial
374,Commercial
3740,Commercial
375,Commercial
3750,Commercial
376,Commercial
3760,Commercial
377,Commercial
3770,Commercial
378,Commercial
379,Commercial
380,Commercial
3800,Commercial
381,Commercial
3810,Commercial
381V,Commercial
383,Commercial
384,Commercial
3841,Commercial
385,Commercial
3850,Commercial
386,Commercial
387,Commercial
388,Commercial
3880,Commercial
390,Commercial
3900,Commercial
3901,Commercial
391,Commercial
3910,Commercial
392,Commercial
